,support,C1_rgb_recall,C2_multispectral_recall,delta_pp
River,500,0.686,0.97,28.39999999999999
Highway,500,0.464,0.706,24.199999999999992
HerbaceousVegetation,600,0.725,0.95,22.499999999999996
PermanentCrop,500,0.69,0.89,20.000000000000007
AnnualCrop,600,0.7866666666666666,0.865,7.833333333333337
SeaLake,600,0.92,0.99,6.999999999999995
Residential,600,0.8566666666666667,0.9116666666666666,5.499999999999994
Forest,600,0.9583333333333334,0.99,3.166666666666662
Pasture,400,0.8925,0.9225,3.0000000000000027
Industrial,500,0.912,0.924,1.200000000000001
